; 63/64; 64/65; 65/66; 66/67; 67/68; 68/69; 69/70; 70/71; 71/72; 72/73; 73/74; 74/75; 75/76; 76/77; 77/78; 78/79; 79/80; 80/81; 81/82; 82/83; 83/84; 84/85; 85/86; 86/87; 87/88; 88/89; 89/90; 90/91; 91/92; 92/93; 93/94; 94/95; 95/96; 96/97; 97/98; 98/99; 99/00; 00/01; 01/02; 02/03; 03/04; 04/05; 05/06; 06/07; 07/08; 08/09; 09/10; 10/11; 11/12; 12/13; 13/14; 14/15; 15/16; 16/17; 17/18; 18/19
Bayern München ;0;0;71;133;201;262;350;424;525;618;713;770;842;916;978;1047;1131;1220;1297;1371;1455;1534;1616;1683;1766;1833;1897;1971;2030;2104;2172;2227;2293;2361;2430;2506;2579;2641;2706;2776;2846;2921;2988;3043;3111;3182;3254;3335;3412;3510;3604;3684;3764;3853;3945;4033
Blau-Weiß 90 Berlin ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36
Borussia Dortmund ;73;140;210;280;340;389;449;503;537;537;537;537;537;610;667;721;785;854;913;991;1045;1096;1145;1215;1266;1322;1373;1419;1485;1546;1595;1662;1738;1801;1858;1906;1947;2009;2071;2122;2181;2228;2273;2314;2364;2424;2478;2545;2625;2706;2786;2833;2915;2987;3051;3132
Borussia Mönchengladbach ;0;0;57;127;204;265;336;413;495;577;670;756;822;880;966;1016;1077;1145;1206;1270;1351;1428;1493;1567;1622;1666;1703;1752;1789;1848;1913;1979;2031;2077;2131;2172;2172;2172;2213;2256;2296;2331;2373;2396;2396;2435;2478;2526;2575;2620;2679;2732;2799;2844;2891;2946
Borussia Neunkirchen ;0;44;76;76;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109
Darmstadt 98 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;40;40;40;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86
Dynamo Dresden ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;66;99;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132
Eintracht Braunschweig ;36;78;127;176;213;259;299;351;394;427;427;479;531;587;630;680;712;712;773;815;869;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;937;937;937;937;937;937;937
Eintracht Frankfurt ;65;115;179;245;303;349;403;442;513;571;634;723;802;888;947;997;1062;1123;1206;1254;1299;1361;1396;1438;1489;1519;1580;1643;1719;1775;1832;1873;1916;1916;1916;1960;2002;2043;2043;2043;2079;2079;2121;2167;2210;2249;2296;2296;2327;2376;2416;2472;2506;2542;2587;2647
Energie Cottbus ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;74;108;108;108;108;146;181;211;211;211;211;211;211;211;211;211;211;211
FC Augsburg ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;69;116;159;201;236;279;330
FC Homburg ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;70;70;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103
FC Ingolstadt 04 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;69;69;69
FC St. Pauli ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;44;44;44;44;44;44;44;44;44;44;85;116;149;149;149;149;149;192;224;224;224;224;224;261;261;261;261;261;261;261;261;261;296;296;296;296;296;296;296;296;296
Fortuna Düsseldorf ;0;0;0;44;44;44;44;44;84;146;207;273;320;372;421;491;553;610;658;721;784;837;891;933;933;933;974;1014;1055;1055;1055;1055;1095;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1160;1160;1160;1160;1160;1160;1209
